_also_see	56	375431	38	38	38.0016315234	375426	38	38	38.0016315431
_derivationally_related_form	1074	1529220	1011	1011	1011.01895693	1529149	1011	1011	1011.01895712
_has_part	172	3344869	0	0	0.105274288414	3344802	0	0	0.105274646902
_hypernym	1251	25667450	1	1	1.30498223352	25644064	1	1	1.30516364996
_instance_hypernym	122	1925681	18	18	18.0245724149	1919614	18	18	18.0246340944
_member_meronym	253	5109778	5	5	5.05285161911	5109775	5	5	5.05285163484
_member_of_domain_region	26	472819	1	1	1.00267465072	472814	1	1	1.00267465613
_member_of_domain_usage	24	444446	0	0	0.00268000397929	444444	0	0	0.00268000650789
_similar_to	3	3	3	3	3.0	3	3	3	3.0
_synset_domain_topic_of	114	2381790	2	2	2.01392851391	2376273	2	2	2.0139479908
_verb_group	39	37578	38	38	38.0000266383	37577	38	38	38.000026639
